Group;Device;Detected object;Detected at;Path to file;Object type;Details;Action;Account;Application;Version number;Last visible;Last connected to Administration Server;IP address;NetBIOS name;Windows domain
Managed devices;dispositivos_1010;wp20.ru;2/05/2022 20:55;wp20.ru;Malicious link;Tipo de evento: Vínculo peligroso bloqueado  Nombre: chrome.exe  Ruta de la aplicación: C:\​Program Files\​Google\​Chrome\​Application  ID de proceso: 2476  Usuario: dispositivos_1010\​mipyme (Usuario activo)  Componente: Protección frente a amenazas web  Descripción del resultado: Bloqueado  Tipo: Vínculo malicioso  Nombre: wp20.ru  Nivel de amenaza: Exacta  Precisión: Alto  Tipo de objeto: Página web  Nombre del objeto: wp20.ru  Razón: Análisis automático  Fecha de lanzamiento de la base de datos: 2/​05/​2022 10:06:00;Bloqueado;dispositivos_1010\​mipyme;Kaspersky Endpoint Security para Windows;11.8.0.384;11/05/2022 00:11;11/05/2022 00:10;172.16.1.9;dispositivos_1010;miempresa
Managed devices;dispositivos_1010;wp20.ru;2/05/2022 20:55;wp20.ru;Malicious link;Tipo de evento: Vínculo peligroso bloqueado  Nombre: chrome.exe  Ruta de la aplicación: C:\​Program Files\​Google\​Chrome\​Application  ID de proceso: 2476  Usuario: dispositivos_1010\​mipyme (Usuario activo)  Componente: Protección frente a amenazas web  Descripción del resultado: Bloqueado  Tipo: Vínculo malicioso  Nombre: wp20.ru  Nivel de amenaza: Exacta  Precisión: Alto  Tipo de objeto: Página web  Nombre del objeto: wp20.ru  Razón: Análisis automático  Fecha de lanzamiento de la base de datos: 2/​05/​2022 10:06:00;Bloqueado;dispositivos_1010\​mipyme;Kaspersky Endpoint Security para Windows;11.8.0.384;11/05/2022 00:11;11/05/2022 00:10;172.16.1.9;dispositivos_1010;miempresa
Managed devices;dispositivos_1011;not-a-virus:HEUR:AdWare.Script.Pusher.gen;3/05/2022 03:25;https:/​/​us07.biz/​?te=he4tgmrwmm5ha3ddf42tamzz;AdWare;Descripción del resultado: Bloqueado  Tipo: Сontiene software publicitario, marcadores automáticos, software legítimo que los delincuentes pueden utilizar para dañar su equipo o averiguar sus datos personales  Nombre: not-a-virus:HEUR:AdWare.Script.Pusher.gen  Usuario: minegocio\​usuarioa (Iniciador)  Objeto: https:/​/​us07.biz\​?te=he4tgmrwmm5ha3ddf42tamzz  Fecha de lanzamiento de la base de datos: 2/​05/​2022 17:17:00  SHA256: 2FF9B8F0519B2B9D89A6428BB1D557711DD7E738B6EFF85A139531795F350571  MD5: C5BF440061A2A9B8EAAD7A66DC8943F4;Bloqueado;minegocio\​usuarioa;Kaspersky Endpoint Security para Windows;11.7.0.669;11/05/2022 00:06;11/05/2022 00:06;172.16.1.23;dispositivos_1011;minegocio
Managed devices;dispositivos_1011;not-a-virus:HEUR:AdWare.Script.Pusher.gen;3/05/2022 03:25;https:/​/​js.wpshsdk.com/​npc/​sdk/​push.m.js?v=1;AdWare;Descripción del resultado: Bloqueado  Tipo: Сontiene software publicitario, marcadores automáticos, software legítimo que los delincuentes pueden utilizar para dañar su equipo o averiguar sus datos personales  Nombre: not-a-virus:HEUR:AdWare.Script.Pusher.gen  Usuario: minegocio\​usuarioa (Iniciador)  Objeto: https:/​/​js.wpshsdk.com/​npc/​sdk\​push.m.js?v=1  Fecha de lanzamiento de la base de datos: 2/​05/​2022 17:17:00  SHA256: 6E040F861722DEEE40EA47CE05231FFF57895321F15C7CD9BFE3414212E09546  MD5: BD6336E7D90CA7B80D0966C65A3A8F6A;Bloqueado;minegocio\​usuarioa;Kaspersky Endpoint Security para Windows;11.7.0.669;11/05/2022 00:06;11/05/2022 00:06;172.16.1.23;dispositivos_1011;minegocio
Managed devices;dispositivos_1011;not-a-virus:HEUR:AdWare.Script.Pusher.gen;7/05/2022 01:19;https:/​/​us00.biz/​?te=me2tantegq5ha3ddf43dmmbv;AdWare;Descripción del resultado: Bloqueado  Tipo: Сontiene software publicitario, marcadores automáticos, software legítimo que los delincuentes pueden utilizar para dañar su equipo o averiguar sus datos personales  Nombre: not-a-virus:HEUR:AdWare.Script.Pusher.gen  Usuario: minegocio\​usuarioa (Iniciador)  Objeto: https:/​/​us00.biz\​?te=me2tantegq5ha3ddf43dmmbv  Fecha de lanzamiento de la base de datos: 6/​05/​2022 16:09:00  SHA256: 8F839A402D03E6E5D9F46C488C252B6244778C29CC7F331F0C48BF4CCAB3DA44  MD5: 961D6BBEBA64CDD1BB5D1A7F9885D2B6;Bloqueado;minegocio\​usuarioa;Kaspersky Endpoint Security para Windows;11.7.0.669;11/05/2022 00:06;11/05/2022 00:06;172.16.1.23;dispositivos_1011;minegocio
Managed devices;dispositivos_1012;not-a-virus:HEUR:AdWare.Script.Pusher.gen;26/04/2022 04:28;https:/​/​mos3.biz/​?te=he4tgmrwmm5ha3ddf42tamzz;AdWare;Descripción del resultado: Bloqueado  Tipo: Сontiene software publicitario, marcadores automáticos, software legítimo que los delincuentes pueden utilizar para dañar su equipo o averiguar sus datos personales  Nombre: not-a-virus:HEUR:AdWare.Script.Pusher.gen  Usuario: minegocio\​usuariob (Iniciador)  Objeto: https:/​/​mos3.biz\​?te=he4tgmrwmm5ha3ddf42tamzz  Fecha de lanzamiento de la base de datos: 25/​04/​2022 19:02:00  SHA256: 0A6FE27F85D4C8E3048852547BF045C85E7D99A54B5566743CEDE5151D024103  MD5: 855A00B74A804A0270B1A07487DB5B30;Bloqueado;minegocio\​usuariob;Kaspersky Endpoint Security para Windows;11.7.0.669;30/04/2022 04:26;30/04/2022 04:26;172.16.203.246;dispositivos_1012;minegocio
Managed devices;dispositivos_1012;not-a-virus:HEUR:AdWare.Script.Pusher.gen;26/04/2022 04:28;https:/​/​js.wpshsdk.com/​npc/​sdk/​push.m.js?v=1;AdWare;Descripción del resultado: Bloqueado  Tipo: Сontiene software publicitario, marcadores automáticos, software legítimo que los delincuentes pueden utilizar para dañar su equipo o averiguar sus datos personales  Nombre: not-a-virus:HEUR:AdWare.Script.Pusher.gen  Usuario: minegocio\​usuariob (Iniciador)  Objeto: https:/​/​js.wpshsdk.com/​npc/​sdk\​push.m.js?v=1  Fecha de lanzamiento de la base de datos: 25/​04/​2022 19:02:00  SHA256: 6E040F861722DEEE40EA47CE05231FFF57895321F15C7CD9BFE3414212E09546  MD5: BD6336E7D90CA7B80D0966C65A3A8F6A;Bloqueado;minegocio\​usuariob;Kaspersky Endpoint Security para Windows;11.7.0.669;30/04/2022 04:26;30/04/2022 04:26;172.16.203.246;dispositivos_1012;minegocio
Managed devices;dispositivos_1013;not-a-virus:HEUR:AdWare.Script.Generic;16/04/2022 03:31;https:/​/​syndication.optimizesrv.com/​splash.php?cat=&type=8&cookieconsent=true&sub=&el=&tags=&scr_info=cmVtb3RlfHBvcHVuZGVyanN8Mi4xMS4yMw&p=%2Fmovie%2F54771&idzone=3736;AdWare;Descripción del resultado: Bloqueado  Tipo: Сontiene software publicitario, marcadores automáticos, software legítimo que los delincuentes pueden utilizar para dañar su equipo o averiguar sus datos personales  Nombre: not-a-virus:HEUR:AdWare.Script.Generic  Usuario: minegocio\usuarioc (Iniciador)  Objeto: https:/​/​syndication.optimizesrv.com\​splash.php?cat=&type=8&cookieconsent=true&sub=&el=&tags=&scr_info=cmVtb3RlfHBvcHVuZGVyanN8Mi4xMS4yMw&p=%2Fmovie%2F54771&idzone=3736  Fecha de lanzamiento de la base de datos: 14/​04/​2022 7:57:00  SHA256: 3AAF08E22933B2AE9F88B36C9847AF1147D4CA1BE76341E7C541A4CBA11C1AF7  MD5: 4E8C2883146DE9C9119087CB67FE99B6;Bloqueado;minegocio\usuarioc;Kaspersky Endpoint Security para Windows;11.7.0.669;10/05/2022 20:23;10/05/2022 20:18;172.16.1.4;dispositivos_1013;minegocio
Managed devices;dispositivos_1013;not-a-virus:HEUR:AdWare.Script.Generic;16/04/2022 03:31;https:/​/​syndication.optimizesrv.com/​splash.php?cat=&type=8&cookieconsent=true&sub=&el=&tags=&scr_info=cmVtb3RlfHBvcHVuZGVyanN8Mi4xMS4yMw&p=%2Fmovie%2F13142&idzone=3736;AdWare;Descripción del resultado: Bloqueado  Tipo: Сontiene software publicitario, marcadores automáticos, software legítimo que los delincuentes pueden utilizar para dañar su equipo o averiguar sus datos personales  Nombre: not-a-virus:HEUR:AdWare.Script.Generic  Usuario: minegocio\usuarioc (Iniciador)  Objeto: https:/​/​syndication.optimizesrv.com\​splash.php?cat=&type=8&cookieconsent=true&sub=&el=&tags=&scr_info=cmVtb3RlfHBvcHVuZGVyanN8Mi4xMS4yMw&p=%2Fmovie%2F13142&idzone=3736  Fecha de lanzamiento de la base de datos: 14/​04/​2022 7:57:00  SHA256: 162A18F773C141B6BEE3CEBDE39599742C2D51368C5FA2D7EA5EEA5DA8169365  MD5: 27AD3658220F2D301EDAF43A861D26A2;Bloqueado;minegocio\usuarioc;Kaspersky Endpoint Security para Windows;11.7.0.669;10/05/2022 20:23;10/05/2022 20:18;172.16.1.4;dispositivos_1013;minegocio
Managed devices;dispositivos_1013;not-a-virus:HEUR:AdWare.Script.Generic;16/04/2022 03:32;https:/​/​syndication.optimizesrv.com/​splash.php?cat=&type=8&cookieconsent=true&sub=&el=&tags=&scr_info=cmVtb3RlfHBvcHVuZGVyanN8Mi4xMS4yMw&p=%2Fmovie%2F65817&idzone=3736;AdWare;Descripción del resultado: Bloqueado  Tipo: Сontiene software publicitario, marcadores automáticos, software legítimo que los delincuentes pueden utilizar para dañar su equipo o averiguar sus datos personales  Nombre: not-a-virus:HEUR:AdWare.Script.Generic  Usuario: minegocio\usuarioc (Iniciador)  Objeto: https:/​/​syndication.optimizesrv.com\​splash.php?cat=&type=8&cookieconsent=true&sub=&el=&tags=&scr_info=cmVtb3RlfHBvcHVuZGVyanN8Mi4xMS4yMw&p=%2Fmovie%2F65817&idzone=3736  Fecha de lanzamiento de la base de datos: 14/​04/​2022 7:57:00  SHA256: EB3B83C2EADB49275E2403E6B54259335B2670FC7913EDED27CA41C0A48FA9CF  MD5: B50B7126A78B7CB56AE12DC6AE3F39B5;Bloqueado;minegocio\usuarioc;Kaspersky Endpoint Security para Windows;11.7.0.669;10/05/2022 20:23;10/05/2022 20:18;172.16.1.4;dispositivos_1013;minegocio
